Animal,ImageCount
otter,443
parrot,443
scallop,440
sparrow,439
dragonfly,438
porcupine,438
lizard,436
platypus,430
leopard,429
turtle,429
mosquito,429
reindeer,428
cockroach,428
snake,427
sandpiper,425
butterfly,425
bee,425
horse,424
coyote,424
orangutan,423
duck,422
cow,420
crow,420
pigeon,420
bison,420
jellyfish,420
turkey,419
walrus,419
squirrel,418
zebra,418
hornbill,417
camel,415
whale,415
wombat,413
bat,413
moth,413
swan,412
lobster,412
spider,412
dolphin,410
hummingbird,410
lion,410
pelecaniformes,410
seal,410
boar,409
donkey,407
mandrill,407
crab,406
octopus,405
deer,404
rhinoceros,404
raccoon,403
sheep,402
tiger,402
badger,402
possum,402
woodpecker,400
fox,399
hippopotamus,398
owl,397
panda,397
ladybugs,396
giraffe,396
flamingo,396
koala,393
seahorse,393
elephant,392
hedgehog,391
mouse,391
penguin,388
hyena,386
shark,385
goat,385
goose,385
caterpillar,384
gorilla,381
kangaroo,378
grasshopper,374
hare,371
squid,369
crocodile,368
eagle,368
beetle,366
starfish,364
bear,363
pufferfish,361
cat,359
antelope,356
chimpanzee,355
dog,355
goldfish,353
fly,352
hamster,340
pig,333
mantis,330
peacock,329
frog,328
scorpion,324
capybara,318
pangolin,313
